Class,"0","1"
ACC,0.96429,0.96429
AGF,0.98489,0.94224
AGM,0.9452,0.97291
AM,2,-2
AUC,0.95833,0.95833
AUCI,Excellent,Excellent
AUPR,0.97059,0.95833
BCD,0.01786,0.01786
BM,0.91667,0.91667
CEN,0.15286,0.19668
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.03571,0.03571
F0.5,0.95238,0.98214
F1,0.9697,0.95652
F2,0.98765,0.9322
FDR,0.05882,0.0
FN,0,2
FNR,0.0,0.08333
FOR,0.0,0.05882
FP,2,0
FPR,0.08333,0.0
G,0.97014,0.95743
GI,0.91667,0.91667
GM,0.95743,0.95743
IBA,0.99306,0.84028
IS,0.71989,1.22239
J,0.94118,0.91667
LS,1.64706,2.33333
MCC,0.92884,0.92884
MCCI,Very Strong,Very Strong
MCEN,0.24044,0.29875
MK,0.94118,0.94118
N,24,32
NLR,0.0,0.08333
NLRI,Good,Good
NPV,1.0,0.94118
OC,1.0,1.0
OOC,0.97014,0.95743
OP,0.92081,0.92081
P,32,24
PLR,12.0,None
PLRI,Good,None
POP,56,56
PPV,0.94118,1.0
PRE,0.57143,0.42857
Q,None,None
RACC,0.34694,0.16837
RACCU,0.34726,0.16869
TN,22,32
TNR,0.91667,1.0
TON,22,34
TOP,34,22
TP,32,22
TPR,1.0,0.91667
Y,0.91667,0.91667
dInd,0.08333,0.08333
sInd,0.94107,0.94107
